event_id,time,space,variable,speed,acc,duration
1310,24,2.084,Brake,26.08432,0.3044184,14
1310,25,2.923,Acceleration,5.6100006,0.25186995,4
1310,27,1.892,Brake,31.55555,0.43628767,14
1310,27,1.891,Brake,30.753727,0.46638283,4
1310,28,1.117,Acceleration,28.943335,0.20190415,15
1310,28,1.855,Brake,12.32353,0.5131377,11
1310,28,1.893,Brake,29.010796,0.4585895,14
1310,28,1.847,Brake,23.153877,0.80339694,5
1310,29,2.897,Acceleration,10.163334,0.34398425,4
1410,16,2.767,Acceleration,31.80289,0.15821598,3
1410,18,0.94,Acceleration,25.982595,0.17239958,18
1410,23,1.106,Acceleration,27.795826,0.19199403,18
1410,26,0.158,Brake,28.813334,0.2386136,2
1410,26,0.239,Acceleration,30.633333,0.18150917,5
1510,7,1.74,Acceleration,25.982595,0.17239958,18
1510,12,1.906,Acceleration,27.795826,0.19199403,18
1510,15,0.958,Brake,28.813334,0.2386136,2
1510,15,1.039,Acceleration,30.633333,0.18150917,5
1510,24,2.382,Brake,28.41378,0.398317,14
1510,24,2.274,Brake,18.643734,0.4613064,8
1510,24,2.227,Brake,18.388481,0.3323658,14
1510,24,2.144,Brake,29.032698,0.4562396,9
1510,24,0.106,Acceleration,29.282112,0.31475234,8
1510,24,0.608,Acceleration,30.002335,0.25704768,17
1510,24,2.522,Acceleration,24.090204,0.25295782,11
1510,25,0.793,Acceleration,31.185556,0.31999847,7
1510,25,1.6,Acceleration,31.185556,0.28327695,18
1510,25,2.126,Brake,30.311,0.50989205,14
1510,26,2.219,Acceleration,10.5048895,0.226178,10
1510,28,1.97,Acceleration,10.563018,0.25458857,4
1510,28,0.269,Acceleration,22.768698,0.21599129,12
1510,30,2.65,Acceleration,22.223694,0.21081871,18
1510,30,1.646,Brake,28.186373,0.4431554,14
1610,10,1.331,Brake,32.793335,0.20190337,9
1610,10,1.504,Brake,31.523335,0.30285585,5
1710,26,2.831,Brake,34.958443,0.20119113,10
2110,8,1.124,Acceleration,31.391333,0.2574982,6
2110,11,1.945,Acceleration,39.77678,0.3042605,6
2110,16,2.512,Acceleration,25.373335,0.17437138,11
2110,16,2.885,Brake,25.443335,0.22943614,2
2110,24,1.644,Brake,31.753334,0.25798827,3
2110,29,1.673,Acceleration,17.673582,0.25407377,18
2210,1,2.455,Brake,22.910284,0.2660044,14
2210,1,2.39,Brake,23.41226,0.37007257,14
2210,2,2.216,Brake,32.127434,0.54459673,10
2210,2,2.1,Brake,22.664242,0.62909293,7
2210,3,2.116,Brake,21.433979,0.37731087,12
2210,4,2.247,Brake,20.543333,0.2763432,14
2210,4,2.082,Brake,28.56189,0.325244,13
2210,4,2.082,Brake,31.545668,0.49835798,10
2210,5,1.906,Brake,26.057428,0.4067059,14
2210,6,1.861,Brake,31.27147,0.29335162,14
2210,7,2.082,Brake,9.240303,0.4189498,13
2210,7,1.87,Brake,27.50704,0.2615629,14
2210,8,2.644,Acceleration,3.2710283,0.30574292,3
2210,9,1.942,Brake,28.761417,0.49413937,13
2210,9,1.942,Brake,25.865435,0.420907,14
2210,9,2.125,Brake,7.6410246,0.31163105,14
2210,9,2.127,Brake,11.078326,0.31247562,14
